model,layer,relative_depth,bucket,lid,isotropy,entropy
llama3.1-8B,0,0.0,1_Factual,11.398198838752311,0.4569775405202353,250.02852
llama3.1-8B,0,0.0,2_Impossible,18.173750605821585,0.9707838934216486,454.72412
llama3.1-8B,0,0.0,3_Hallucination,13.600578383997043,0.366956629112054,424.99738
llama3.1-8B,1,0.03125,1_Factual,9.786138894856919,0.4830916393871906,260.5768
llama3.1-8B,1,0.03125,2_Impossible,16.53713808163468,0.4268846358913925,501.4675
llama3.1-8B,1,0.03125,3_Hallucination,13.419743994249183,0.3824632778272704,470.68393
llama3.1-8B,2,0.0625,1_Factual,8.362033658152722,0.5072326510968331,234.40746
llama3.1-8B,2,0.0625,2_Impossible,13.495559402908926,0.43292205949286966,461.5679
llama3.1-8B,2,0.0625,3_Hallucination,11.363550177486667,0.46727626303580944,424.68155
llama3.1-8B,3,0.09375,1_Factual,8.402185804849475,0.5154449839455587,246.20631
llama3.1-8B,3,0.09375,2_Impossible,13.970724849931905,0.45324872783238424,502.30322
llama3.1-8B,3,0.09375,3_Hallucination,11.476554391590668,0.5085135296204147,454.47266
llama3.1-8B,4,0.125,1_Factual,8.682920685413453,0.6384609643649941,257.99457
llama3.1-8B,4,0.125,2_Impossible,15.616731267680969,0.49254738097328865,556.14636
llama3.1-8B,4,0.125,3_Hallucination,12.626830286554249,0.5452395300753815,500.0239
llama3.1-8B,5,0.15625,1_Factual,7.95688405051141,0.6801830951906873,246.59718
llama3.1-8B,5,0.15625,2_Impossible,14.408367363112948,0.5441536463839846,551.9116
llama3.1-8B,5,0.15625,3_Hallucination,11.874421008816453,0.5925759148192361,494.0627
llama3.1-8B,6,0.1875,1_Factual,7.699956807668293,0.656656714024018,246.31561
llama3.1-8B,6,0.1875,2_Impossible,14.180191661865354,0.603846050557706,566.221
llama3.1-8B,6,0.1875,3_Hallucination,11.501597724520574,0.7869220520875705,503.71622
llama3.1-8B,7,0.21875,1_Factual,7.347207988013515,0.6310287188913142,244.49039
llama3.1-8B,7,0.21875,2_Impossible,13.537137862221796,0.5142733554321322,577.78973
llama3.1-8B,7,0.21875,3_Hallucination,10.687715944273814,0.7802316610447403,505.50058
llama3.1-8B,8,0.25,1_Factual,7.399364920763641,0.6040779370149979,246.04353
llama3.1-8B,8,0.25,2_Impossible,13.505640228453617,0.5308610466482488,589.23145
llama3.1-8B,8,0.25,3_Hallucination,10.428542959622606,0.6668954718374024,514.0311
llama3.1-8B,9,0.28125,1_Factual,7.5321030423055335,0.6170119628476485,255.64478
llama3.1-8B,9,0.28125,2_Impossible,14.306933197921301,0.550469252308753,622.183
llama3.1-8B,9,0.28125,3_Hallucination,10.853441902887175,0.6504365829716425,542.45514
llama3.1-8B,10,0.3125,1_Factual,7.610901100011477,0.5814688156404528,259.18222
llama3.1-8B,10,0.3125,2_Impossible,14.453933623784419,0.5478482942500611,635.6094
llama3.1-8B,10,0.3125,3_Hallucination,10.950850057111902,0.5472589064862401,551.6561
llama3.1-8B,11,0.34375,1_Factual,7.826873471296921,0.6004011399078338,265.2668
llama3.1-8B,11,0.34375,2_Impossible,14.593979113766819,0.47496295410911604,641.81903
llama3.1-8B,11,0.34375,3_Hallucination,10.976560522455413,0.49192178815636856,556.5817
llama3.1-8B,12,0.375,1_Factual,8.662011866568161,0.6345834625326544,280.0236
llama3.1-8B,12,0.375,2_Impossible,15.383582875110307,0.4057643924302868,657.1318
llama3.1-8B,12,0.375,3_Hallucination,11.816842015654155,0.49674867619619767,574.56946
llama3.1-8B,13,0.40625,1_Factual,9.375495109475414,0.6685348757560002,293.85358
llama3.1-8B,13,0.40625,2_Impossible,16.419371618810562,0.4702157435045657,681.94965
llama3.1-8B,13,0.40625,3_Hallucination,12.94107796787395,0.6392971255742939,613.14124
llama3.1-8B,14,0.4375,1_Factual,10.04755398754273,0.7496584152361928,306.58743
llama3.1-8B,14,0.4375,2_Impossible,16.686439503058303,0.4351290889473929,692.5032
llama3.1-8B,14,0.4375,3_Hallucination,14.134631529136277,0.6325098826560115,631.2274
llama3.1-8B,15,0.46875,1_Factual,10.233809568167239,0.7888977663710882,306.15747
llama3.1-8B,15,0.46875,2_Impossible,17.69767796548036,0.42245269843153876,704.179
llama3.1-8B,15,0.46875,3_Hallucination,14.716344034640182,0.6022684167108898,638.5975
llama3.1-8B,16,0.5,1_Factual,10.908898252701205,0.7998113342890818,325.4667
llama3.1-8B,16,0.5,2_Impossible,18.295769858887475,0.4694129359555391,723.90247
llama3.1-8B,16,0.5,3_Hallucination,16.436750341477232,0.6214634797397033,669.12024
llama3.1-8B,17,0.53125,1_Factual,10.930115017197041,0.7104496266472925,329.61194
llama3.1-8B,17,0.53125,2_Impossible,18.575845920985056,0.4745565689525367,724.33856
llama3.1-8B,17,0.53125,3_Hallucination,16.778301232967337,0.7007779499734241,667.1708
llama3.1-8B,18,0.5625,1_Factual,11.50393846741429,0.6635204005859847,339.7791
llama3.1-8B,18,0.5625,2_Impossible,18.466175842822384,0.5042427907905395,726.0465
llama3.1-8B,18,0.5625,3_Hallucination,17.184934213026246,0.7157621089579449,686.6345
llama3.1-8B,19,0.59375,1_Factual,12.287113063871395,0.6750061790888122,352.61456
llama3.1-8B,19,0.59375,2_Impossible,18.613238855377936,0.5430435980847383,727.5433
llama3.1-8B,19,0.59375,3_Hallucination,17.71766093802587,0.7355397032486015,695.53314
llama3.1-8B,20,0.625,1_Factual,12.17697574781293,0.7103564106534794,359.68912
llama3.1-8B,20,0.625,2_Impossible,18.55552377306165,0.5519929123488684,727.3737
llama3.1-8B,20,0.625,3_Hallucination,17.73155111073793,0.7457596352298819,697.4907
llama3.1-8B,21,0.65625,1_Factual,12.678004262031848,0.7177293552679219,365.11655
llama3.1-8B,21,0.65625,2_Impossible,19.493197211873422,0.43768446747193657,722.6309
llama3.1-8B,21,0.65625,3_Hallucination,17.37025146767505,0.8053024002276802,692.045
