model,layer,relative_depth,boundary_type,evaluated_on,boundary_norm,boundary_stability,boundary_entropy,boundary_max_prob,fisher_info,hessian_curvature,jac_amplification,grad_blockage,grad_alignment,vocab_alignment,betti_0,betti_1
llama3.1-8B,0,0.0,Impossible,Impossible,0.01751273025996196,,11.75,8.404254913330078e-06,0.12494681903828701,0.32394913547909876,2.962890625,-0.01427381724352017,-0.005589346226770431,0.1787109375,1,0
llama3.1-8B,0,0.0,Impossible,Factual,0.01751273025996196,,11.75,8.404254913330078e-06,0.21873286388460841,0.2148311443270976,2.47998046875,0.006785559584386647,-0.024781761807389557,0.1787109375,1,0
llama3.1-8B,0,0.0,Hallucination,Hallucination,0.02286877305804588,,11.75,8.344650268554688e-06,0.12625302186917692,0.12334772054676651,3.2998046875,-0.002724538750044303,-0.0016147797723533586,0.1630859375,1,0
llama3.1-8B,0,0.0,Hallucination,Factual,0.02286877305804588,,11.75,8.344650268554688e-06,0.08650915070872671,0.08381898997267732,2.64404296875,-0.011470107041532174,0.006378171412507072,0.1630859375,1,0
llama3.1-8B,1,0.03125,Impossible,Impossible,0.037660461693650484,0.4832465457780655,11.75,8.463859558105469e-06,0.09683203663651549,0.23200672681432769,1.21240234375,-0.008961661893408746,-0.005837130032887217,0.1962890625,1,0
llama3.1-8B,1,0.03125,Impossible,Factual,0.037660461693650484,0.4832465457780655,11.75,8.463859558105469e-06,0.07061237372089273,0.12558455073832897,1.259765625,0.00889402128814254,-0.005956090972176753,0.1962890625,1,0
llama3.1-8B,1,0.03125,Hallucination,Hallucination,0.05383463072500028,0.4318870144613882,11.75,8.404254913330078e-06,0.09575336944286286,0.2915523540698398,1.1650390625,-0.011717345652868971,-0.0027220560295972973,0.1865234375,1,0
llama3.1-8B,1,0.03125,Hallucination,Factual,0.05383463072500028,0.4318870144613882,11.75,8.404254913330078e-06,0.13183069528495706,0.13841115166220402,1.2724609375,-0.014580602291971445,0.020462426560698077,0.1865234375,1,0
llama3.1-8B,2,0.0625,Impossible,Impossible,0.10555360631519074,0.41086547971337894,11.75,8.344650268554688e-06,0.11560459057994642,0.0442620576749902,1.32958984375,0.009708571305964142,-0.005493249882420059,0.1826171875,1,0
llama3.1-8B,2,0.0625,Impossible,Factual,0.10555360631519074,0.41086547971337894,11.75,8.344650268554688e-06,0.0711438221373452,0.022684315837555737,1.3994140625,0.016561133408686146,-0.003263550919655245,0.1826171875,1,0
llama3.1-8B,2,0.0625,Hallucination,Hallucination,0.13975880649862726,0.4303418586543707,11.75,8.404254913330078e-06,0.09585058037992286,0.20585971338061645,1.3544921875,0.010692859446862713,-0.0024359672534046695,0.1953125,1,0
