model,layer,relative_depth,boundary_type,evaluated_on,boundary_norm,boundary_stability,boundary_entropy,boundary_max_prob,fisher_info,hessian_curvature,jac_amplification,grad_blockage,grad_alignment,vocab_alignment,betti_0,betti_1
llama3.2-3B-it,0,0.0,Impossible,Impossible,0.04766799477872715,,11.75,8.463859558105469e-06,2.8236054347928774,-0.0017337205234312526,2.333984375,0.0038554998754989356,-0.0020570461492752656,0.1875,1,0
llama3.2-3B-it,0,0.0,Impossible,Factual,0.04766799477872715,,11.75,8.463859558105469e-06,0.8995511126105719,0.06532783819576901,2.09619140625,0.0026558692334219813,0.02914189879084006,0.1875,1,0
llama3.2-3B-it,0,0.0,Hallucination,Hallucination,0.04669666197228228,,11.75,8.52346420288086e-06,1.5248500338483697,0.08285375926124812,2.26171875,-0.007276885924511589,-0.0002091385831590742,0.18359375,1,0
llama3.2-3B-it,0,0.0,Hallucination,Factual,0.04669666197228228,,11.75,8.52346420288086e-06,0.30230611204349506,0.05557580208646213,1.91455078125,-0.0014723160638823174,0.014622964663431048,0.18359375,1,0
llama3.2-3B-it,1,0.03571428571428571,Impossible,Impossible,0.07935619059147916,0.6030114102110502,11.75,8.463859558105469e-06,1.628825941467936,0.020095070644700192,1.23291015625,0.00365784544555936,-0.00323215288517531,0.181640625,1,0
llama3.2-3B-it,1,0.03571428571428571,Impossible,Factual,0.07935619059147916,0.6030114102110502,11.75,8.463859558105469e-06,0.4470957462294369,0.14480028484771731,1.29638671875,0.0036559966974891722,0.00912474991491763,0.181640625,1,0
llama3.2-3B-it,1,0.03571428571428571,Hallucination,Hallucination,0.10003749635620104,0.4789319830937569,11.75,8.463859558105469e-06,1.1618889330339333,-0.0007896783140708729,1.24658203125,0.006073931675928179,0.0027280952999717556,0.1669921875,1,0
llama3.2-3B-it,1,0.03571428571428571,Hallucination,Factual,0.10003749635620104,0.4789319830937569,11.75,8.463859558105469e-06,0.3261726552141917,0.031676869161148244,1.44482421875,0.007651681182323955,0.014972207689424977,0.1669921875,1,0
llama3.2-3B-it,2,0.07142857142857142,Impossible,Impossible,0.18009888178755248,0.4752017003733622,11.75,8.463859558105469e-06,1.5117367471479515,0.08273614815538478,1.2890625,0.0038873024968779646,-0.0003048486541956663,0.1767578125,1,0
llama3.2-3B-it,2,0.07142857142857142,Impossible,Factual,0.18009888178755248,0.4752017003733622,11.75,8.463859558105469e-06,0.45580324320228915,0.09625946307156964,1.32666015625,0.002216553286416456,0.015877445111982524,0.1767578125,1,0
llama3.2-3B-it,2,0.07142857142857142,Hallucination,Hallucination,0.19108390401153957,0.5073700499835809,11.75,8.463859558105469e-06,1.0934510081094118,0.06991282342728829,1.26513671875,0.006726845807861537,0.0014580699207726866,0.1630859375,1,0
llama3.2-3B-it,2,0.07142857142857142,Hallucination,Factual,0.19108390401153957,0.5073700499835809,11.75,8.463859558105469e-06,0.4809622030575864,0.14301717891537166,1.31982421875,0.004420426877913997,0.0047409143662662245,0.1630859375,1,0
llama3.2-3B-it,3,0.10714285714285714,Impossible,Impossible,0.3813659855313436,0.4480930956744499,11.75,8.52346420288086e-06,0.8559117522636099,-0.0012501028206580583,1.2890625,0.0031626347335986793,0.0020427660056157038,0.173828125,1,0
llama3.2-3B-it,3,0.10714285714285714,Impossible,Factual,0.3813659855313436,0.4480930956744499,11.75,8.52346420288086e-06,0.3806261282758397,0.05729929206742267,1.3955078125,0.004794729000423104,0.0071713872530381195,0.173828125,1,0
llama3.2-3B-it,3,0.10714285714285714,Hallucination,Hallucination,0.34295580331326186,0.5093129989678467,11.75,8.52346420288086e-06,0.764654478925543,0.06677490272813646,1.27197265625,0.0029294333362486213,0.0016693948418833315,0.17578125,1,0
llama3.2-3B-it,3,0.10714285714285714,Hallucination,Factual,0.34295580331326186,0.5093129989678467,11.75,8.52346420288086e-06,0.4730446146754142,0.04735083517114709,1.3486328125,-0.003177902806783095,-0.004111781236133538,0.17578125,1,0
llama3.2-3B-it,4,0.14285714285714285,Impossible,Impossible,0.5697193125113661,0.5485789014349121,11.75,8.52346420288086e-06,0.8491289682243361,-0.0005803191627259249,1.259765625,-0.0016593996624578722,0.0035315715795150027,0.16796875,1,0
llama3.2-3B-it,4,0.14285714285714285,Impossible,Factual,0.5697193125113661,0.5485789014349121,11.75,8.52346420288086e-06,0.30262058883203974,0.04439039409695244,1.3447265625,0.00838500952522736,0.022099797395640053,0.16796875,1,0
llama3.2-3B-it,4,0.14285714285714285,Hallucination,Hallucination,0.4995195551350221,0.5457141066075074,11.75,8.64267349243164e-06,0.8634478135167175,0.03639884947578084,1.21630859375,-0.0022663028357783332,-0.0006458402349380776,0.1826171875,1,0
llama3.2-3B-it,4,0.14285714285714285,Hallucination,Factual,0.4995195551350221,0.5457141066075074,11.75,8.64267349243164e-06,0.3643956440418102,0.022593011478132207,1.26953125,-0.006183518693433143,-0.004656884761061519,0.1826171875,1,0
llama3.2-3B-it,5,0.17857142857142858,Impossible,Impossible,0.854141653329165,0.5426931353559326,11.75,8.463859558105469e-06,0.9167515795792737,0.015192652268093644,1.25,-0.0012926439376315102,0.002479933900758624,0.1806640625,1,0
llama3.2-3B-it,5,0.17857142857142858,Impossible,Factual,0.854141653329165,0.5426931353559326,11.75,8.463859558105469e-06,0.4200219105213697,0.020163626831126734,1.404296875,0.0009675983674242161,0.028995070853852667,0.1806640625,1,0
llama3.2-3B-it,5,0.17857142857142858,Hallucination,Hallucination,0.7135296557727883,0.5954483098060661,11.75,8.58306884765625e-06,0.8305643558465389,0.05744310068219833,1.24365234375,-0.0003547833621269092,-0.0014557690010406077,0.1689453125,1,2
llama3.2-3B-it,5,0.17857142857142858,Hallucination,Factual,0.7135296557727883,0.5954483098060661,11.75,8.58306884765625e-06,0.4463598527011768,0.022883372775275655,1.38037109375,-0.006790114974137396,0.00569601402094122,0.1689453125,1,0
llama3.2-3B-it,6,0.21428571428571427,Impossible,Impossible,1.1789594693606233,0.5836819491396416,11.75,8.463859558105469e-06,0.9354917820226646,0.006682761425042227,1.2509765625,-0.0008245486533269286,0.005481300700921565,0.1640625,1,3
llama3.2-3B-it,6,0.21428571428571427,Impossible,Factual,1.1789594693606233,0.5836819491396416,11.75,8.463859558105469e-06,0.2836200681739674,0.007284179336497886,1.326171875,0.006032364588463679,0.025570322875864804,0.1640625,3,0
llama3.2-3B-it,6,0.21428571428571427,Hallucination,Hallucination,0.9457902640582632,0.599983239352885,11.75,8.52346420288086e-06,0.6874455953416427,0.03955953147936145,1.23095703125,0.0017305721994489431,0.0013455062144203112,0.1669921875,9,7
llama3.2-3B-it,6,0.21428571428571427,Hallucination,Factual,0.9457902640582632,0.599983239352885,11.75,8.52346420288086e-06,0.22498463825469445,0.0035387385764973902,1.3154296875,0.00041044229874387383,0.011345444159815088,0.1669921875,2,0
llama3.2-3B-it,7,0.25,Impossible,Impossible,1.4788896213442626,0.6409347447839332,11.75,8.52346420288086e-06,0.5311059305250336,-0.002196391449527475,1.26513671875,-0.00020865692204097286,0.0037119148473720998,0.181640625,3,0
llama3.2-3B-it,7,0.25,Impossible,Factual,1.4788896213442626,0.6409347447839332,11.75,8.52346420288086e-06,0.3328758861670907,-0.017924506899801795,1.38232421875,0.003961569440434687,0.02701704134233296,0.181640625,2,0
llama3.2-3B-it,7,0.25,Hallucination,Hallucination,1.1581915928548614,0.6555783893548148,11.75,8.463859558105469e-06,0.5889159708446494,0.011416438415994379,1.173828125,0.003119250701274723,-0.0006137964373920113,0.1806640625,23,6
