layer,type,comparison_group,index,score,mean_deviant,mean_factual,ent_deviant,ent_factual
0,neuron_activation,Impossible_vs_Factual,2418,0.575676441192627,0.006691540591418743,0.004042492713779211,,
0,neuron_activation,Impossible_vs_Factual,2419,0.5402253270149231,0.001760462997481227,2.2427835574490018e-05,,
0,neuron_activation,Impossible_vs_Factual,1594,0.514862596988678,0.002712239744141698,0.0011998651316389441,,
0,neuron_activation,Impossible_vs_Factual,4293,0.4997332692146301,0.00827798806130886,0.0037656330969184637,,
0,neuron_activation,Impossible_vs_Factual,3262,0.49725547432899475,-0.0004219423281028867,-0.002657834906131029,,
0,neuron_activation,Impossible_vs_Factual,5384,0.4873197376728058,0.0019298703409731388,0.0008572337683290243,,
0,neuron_activation,Impossible_vs_Factual,3300,0.4830794036388397,0.0019304889719933271,0.000809278863016516,,
0,neuron_activation,Impossible_vs_Factual,807,0.47846394777297974,0.000794523861259222,-0.001687599578872323,,
0,neuron_activation,Impossible_vs_Factual,5572,0.4780985713005066,-0.0002538871776778251,-0.001055896864272654,,
0,neuron_activation,Impossible_vs_Factual,5801,0.4675839841365814,0.004055678844451904,0.00271006696857512,,
0,neuron_activation,Hallucinations_vs_Factual,3172,0.6323806643486023,0.00417408999055624,0.001170949311926961,,
0,neuron_activation,Hallucinations_vs_Factual,6789,0.6046006083488464,0.0006165167433209717,-0.0007611729088239372,,
0,neuron_activation,Hallucinations_vs_Factual,4701,0.6033421158790588,-0.028471319004893303,-0.047780927270650864,,
0,neuron_activation,Hallucinations_vs_Factual,2418,0.5679554343223572,0.006291198078542948,0.004042492713779211,,
0,neuron_activation,Hallucinations_vs_Factual,1072,0.5520835518836975,0.0015723410760983825,0.0003530226822476834,,
0,neuron_activation,Hallucinations_vs_Factual,5380,0.5427340865135193,-0.002803100971505046,-0.004698548931628466,,
0,neuron_activation,Hallucinations_vs_Factual,1153,0.5273295640945435,0.0011298442259430885,0.00036610953975468874,,
0,neuron_activation,Hallucinations_vs_Factual,4736,0.5268823504447937,0.0036731110885739326,0.001900653587654233,,
0,neuron_activation,Hallucinations_vs_Factual,7896,0.517784059047699,0.020932311192154884,0.0004624925786629319,,
0,neuron_activation,Hallucinations_vs_Factual,4230,0.5152291655540466,-0.008020452223718166,-0.011348817497491837,,
1,neuron_activation,Impossible_vs_Factual,5800,0.5711690187454224,0.0021423709113150835,0.0008290603873319924,,
1,neuron_activation,Impossible_vs_Factual,1521,0.5264399647712708,0.0015606025699526072,-0.00023358316684607416,,
1,neuron_activation,Impossible_vs_Factual,6399,0.4930426776409149,0.0042984928004443645,0.0010364591144025326,,
1,neuron_activation,Impossible_vs_Factual,2128,0.4924853444099426,-0.004120474215596914,-0.007379564456641674,,
1,neuron_activation,Impossible_vs_Factual,1815,0.4805539548397064,0.004185545723885298,0.0009563092025928199,,
1,neuron_activation,Impossible_vs_Factual,6138,0.4744117259979248,0.00619729608297348,0.0032132603228092194,,
1,neuron_activation,Impossible_vs_Factual,5547,0.47342729568481445,0.006525523029267788,0.0029878350906074047,,
1,neuron_activation,Impossible_vs_Factual,1289,0.4658440053462982,0.002639727434143424,0.0011300115147605538,,
1,neuron_activation,Impossible_vs_Factual,1406,0.46538975834846497,0.0007303117890842259,-0.00012725574197247624,,
1,neuron_activation,Impossible_vs_Factual,2643,0.46329501271247864,0.006879104301333427,0.005309403408318758,,
1,neuron_activation,Hallucinations_vs_Factual,1577,0.6714862585067749,-0.0007885281229391694,-0.00304197845980525,,
1,neuron_activation,Hallucinations_vs_Factual,4800,0.585763156414032,0.0015631591668352485,-0.007001843303442001,,
1,neuron_activation,Hallucinations_vs_Factual,1202,0.5826546549797058,0.010377020575106144,-0.005018317606300116,,
1,neuron_activation,Hallucinations_vs_Factual,607,0.5803919434547424,-0.01605944149196148,-0.019554322585463524,,
1,neuron_activation,Hallucinations_vs_Factual,6138,0.5790225267410278,0.007144279778003693,0.0032132603228092194,,
1,neuron_activation,Hallucinations_vs_Factual,1880,0.5786680579185486,-0.004374053794890642,-0.006245665717869997,,
1,neuron_activation,Hallucinations_vs_Factual,4401,0.5759308338165283,-0.009874043054878712,-0.013860964216291904,,
1,neuron_activation,Hallucinations_vs_Factual,7614,0.5710630416870117,0.010970117524266243,0.006317244842648506,,
1,neuron_activation,Hallucinations_vs_Factual,5652,0.5577510595321655,0.007359757553786039,0.0039807590655982494,,
1,neuron_activation,Hallucinations_vs_Factual,2875,0.5521483421325684,0.0012583226198330522,-6.541251059388742e-05,,
2,neuron_activation,Impossible_vs_Factual,3510,0.5705350637435913,0.005601273383945227,0.003890411462634802,,
2,neuron_activation,Impossible_vs_Factual,5556,0.562954306602478,0.006068756338208914,0.0009791891789063811,,
2,neuron_activation,Impossible_vs_Factual,5929,0.5595121383666992,0.005488781724125147,0.0012854149099439383,,
2,neuron_activation,Impossible_vs_Factual,1102,0.5590695142745972,0.00946719292551279,0.000641547841951251,,
2,neuron_activation,Impossible_vs_Factual,6639,0.5422541499137878,0.002064439933747053,-0.0014170455979183316,,
2,neuron_activation,Impossible_vs_Factual,1543,0.5325630307197571,-0.0007168391020968556,-0.003295519156381488,,
2,neuron_activation,Impossible_vs_Factual,1192,0.5288830399513245,-0.0007101278170011938,-0.0040948581881821156,,
2,neuron_activation,Impossible_vs_Factual,1220,0.5094848275184631,0.01312558725476265,0.008939551189541817,,
2,neuron_activation,Impossible_vs_Factual,3938,0.5088732242584229,0.01150701753795147,0.006546471267938614,,
2,neuron_activation,Impossible_vs_Factual,3984,0.5069258809089661,-0.0014367023250088096,-0.0037367367185652256,,
2,neuron_activation,Hallucinations_vs_Factual,275,0.8096355199813843,0.0016345306066796184,-0.0036953347735106945,,
2,neuron_activation,Hallucinations_vs_Factual,3167,0.6792762875556946,0.008325004950165749,0.003099921392276883,,
2,neuron_activation,Hallucinations_vs_Factual,1870,0.6771590709686279,-0.014165452681481838,-0.02107946388423443,,
2,neuron_activation,Hallucinations_vs_Factual,569,0.6472977995872498,0.007967676967382431,0.0006542989867739379,,
2,neuron_activation,Hallucinations_vs_Factual,3005,0.6181455850601196,-0.015708431601524353,-0.023543091490864754,,
2,neuron_activation,Hallucinations_vs_Factual,7796,0.6147960424423218,-0.011476212181150913,-0.015593016520142555,,
2,neuron_activation,Hallucinations_vs_Factual,553,0.6133962273597717,-0.03747754171490669,-0.045326899737119675,,
2,neuron_activation,Hallucinations_vs_Factual,2034,0.6099726557731628,0.004347590263932943,-0.0024829842150211334,,
2,neuron_activation,Hallucinations_vs_Factual,1102,0.5818868279457092,0.010110048577189445,0.000641547841951251,,
2,neuron_activation,Hallucinations_vs_Factual,7391,0.5729303359985352,0.006841989234089851,0.0029736869037151337,,
3,neuron_activation,Impossible_vs_Factual,6596,0.5301145315170288,-0.0009251738083548844,-0.015354800969362259,,
3,neuron_activation,Impossible_vs_Factual,6536,0.5242034792900085,-0.011709596030414104,-0.01928039640188217,,
3,neuron_activation,Impossible_vs_Factual,2740,0.502250611782074,0.005650840234011412,-0.0001089072393369861,,
3,neuron_activation,Impossible_vs_Factual,1189,0.501443088054657,0.009422441013157368,0.002757686423137784,,
3,neuron_activation,Impossible_vs_Factual,3436,0.5006783604621887,-0.005009793676435947,-0.011678259819746017,,
3,neuron_activation,Impossible_vs_Factual,3861,0.4973365366458893,0.012852170504629612,0.006747453939169645,,
3,neuron_activation,Impossible_vs_Factual,2283,0.48942863941192627,0.006925002671778202,0.0036216434091329575,,
3,neuron_activation,Impossible_vs_Factual,1203,0.4760931134223938,-0.010265594348311424,-0.015250975266098976,,
3,neuron_activation,Impossible_vs_Factual,380,0.475107878446579,0.034806448966264725,0.01856941357254982,,
3,neuron_activation,Impossible_vs_Factual,5215,0.47037026286125183,0.011448271572589874,0.006460107862949371,,
3,neuron_activation,Hallucinations_vs_Factual,3436,0.6493056416511536,-0.0030524698086082935,-0.011678259819746017,,
3,neuron_activation,Hallucinations_vs_Factual,4432,0.6224627494812012,0.010133165866136551,0.0037055271677672863,,
3,neuron_activation,Hallucinations_vs_Factual,1820,0.5985105633735657,0.01698736473917961,0.007253293879330158,,
3,neuron_activation,Hallucinations_vs_Factual,6596,0.5963335037231445,0.000754047476220876,-0.015354800969362259,,
3,neuron_activation,Hallucinations_vs_Factual,5988,0.594836413860321,-0.02404790371656418,-0.03441869094967842,,
3,neuron_activation,Hallucinations_vs_Factual,6473,0.5893883109092712,0.001234784722328186,9.980701724998653e-05,,
