model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
llama3.2-3B,0,0.0,Factual,1.208765625,0.47205078125,0.009376815795898438,0.019634521484375,-0.0480498046875,-0.15884375,-0.070849609375,-0.1496953125,1.8231875,11.75,1.2264728546142578e-05
llama3.2-3B,0,0.0,Hallucinations,1.266109375,0.4683125,0.018525787353515625,0.023208984375,-0.044673828125,-0.11533984375,-0.052728515625,-0.1340234375,1.8195625,11.75,1.2259483337402344e-05
llama3.2-3B,0,0.0,Impossible,1.19478125,0.4749921875,0.0475205078125,0.0356826171875,-0.03361328125,-0.150796875,-0.067126953125,-0.1470625,1.824,11.75,1.2250900268554688e-05
llama3.2-3B,1,0.03571428571428571,Factual,0.6161953125,0.8199375,0.0815400390625,-0.005670692920684815,0.1113828125,-0.434828125,-0.15065625,-0.182609375,2.544125,,
llama3.2-3B,1,0.03571428571428571,Hallucinations,0.641265625,0.816015625,0.10502734375,0.000662811279296875,0.1205390625,-0.3452734375,-0.12974609375,-0.15478125,2.53325,,
llama3.2-3B,1,0.03571428571428571,Impossible,0.6186015625,0.819890625,0.14268359375,0.01052825927734375,0.1295859375,-0.419015625,-0.1460078125,-0.1762265625,2.547375,,
llama3.2-3B,2,0.07142857142857142,Factual,0.41323046875,0.9037421875,-0.1681337890625,-0.05762109375,0.010650787353515625,-0.590703125,-0.13629296875,-0.122875,3.61525,11.75,1.3911724090576172e-05
llama3.2-3B,2,0.07142857142857142,Hallucinations,0.434375,0.90190625,-0.10273876953125,-0.04825390625,0.0278935546875,-0.406,-0.10458984375,-0.08475,3.59875,11.75,1.377105712890625e-05
llama3.2-3B,2,0.07142857142857142,Impossible,0.419375,0.9028046875,-0.01069146728515625,-0.03378173828125,0.048126953125,-0.534921875,-0.127390625,-0.10934375,3.612,11.75,1.381206512451172e-05
llama3.2-3B,3,0.10714285714285714,Factual,0.41200390625,0.913328125,-0.250595703125,-0.06195703125,-0.014696380615234376,-0.5132109375,-0.1339765625,-0.0416116943359375,4.14325,,
llama3.2-3B,3,0.10714285714285714,Hallucinations,0.43308203125,0.9106640625,-0.1496396484375,-0.046373046875,0.00498828125,-0.256337890625,-0.09625390625,0.006149749755859375,4.1385,,
llama3.2-3B,3,0.10714285714285714,Impossible,0.41673046875,0.911953125,0.0258218994140625,-0.02921392822265625,0.04893310546875,-0.404640625,-0.11954296875,-0.01747900390625,4.13825,,
llama3.2-3B,4,0.14285714285714285,Factual,0.741578125,0.827234375,-0.4580341796875,-0.047102783203125,-0.0493580322265625,-0.5526953125,-0.0649091796875,-0.059052001953125,4.3835,11.75,1.1730194091796876e-05
llama3.2-3B,4,0.14285714285714285,Hallucinations,0.7980859375,0.817515625,-0.2299306640625,-0.023488311767578124,-0.00432061767578125,-0.12271954345703125,-0.01622100830078125,0.0183984375,4.38825,11.75,1.1835098266601563e-05
llama3.2-3B,4,0.14285714285714285,Impossible,0.7475,0.825015625,0.015172119140625,0.002163848876953125,0.0417589111328125,-0.30172265625,-0.0382275390625,-0.012560089111328126,4.36825,11.75,1.174163818359375e-05
llama3.2-3B,5,0.17857142857142858,Factual,0.6782578125,0.84428125,-0.467916015625,-0.02679425048828125,-0.1038671875,-0.82128125,-0.04620361328125,-0.16619921875,5.00725,,
llama3.2-3B,5,0.17857142857142858,Hallucinations,0.697515625,0.8451953125,-0.05648974609375,0.01553741455078125,-0.03609619140625,-0.163131591796875,0.024298248291015626,-0.06293212890625,5.007,,
llama3.2-3B,5,0.17857142857142858,Impossible,0.6765234375,0.84346875,0.25716943359375,0.0497816162109375,0.015239501953125,-0.3675859375,0.00143890380859375,-0.0946796875,5.0015,,
llama3.2-3B,6,0.21428571428571427,Factual,0.8598046875,0.7913046875,-0.3859189453125,-0.0181104736328125,-0.08753759765625,-0.67374609375,-0.07144677734375,-0.07364508056640626,5.3945,11.75,1.2596607208251954e-05
llama3.2-3B,6,0.21428571428571427,Hallucinations,0.9414921875,0.7744375,0.0894293212890625,0.03853121948242187,-0.029065780639648438,0.11475439453125,0.02329962158203125,0.01834930419921875,5.44225,11.75,1.278066635131836e-05
llama3.2-3B,6,0.21428571428571427,Impossible,0.8978515625,0.7786796875,0.554525390625,0.089277099609375,0.03089678955078125,-0.107141357421875,-0.00420452880859375,-0.0066834716796875,5.43825,11.75,1.2594223022460937e-05
llama3.2-3B,7,0.25,Factual,1.289765625,0.629125,-0.401505859375,-0.0277823486328125,-0.0452486572265625,-0.70051318359375,-0.0642911376953125,-0.0570697021484375,6.20225,,
llama3.2-3B,7,0.25,Hallucinations,1.333734375,0.6285859375,0.29922119140625,0.04216693115234375,0.02440484619140625,0.40978125,0.05202447509765625,0.0442740478515625,6.28325,,
llama3.2-3B,7,0.25,Impossible,1.30434375,0.622234375,1.066859375,0.124392578125,0.093358154296875,0.2258740234375,0.029940338134765626,0.0306915283203125,6.32875,,
llama3.2-3B,8,0.2857142857142857,Factual,1.14109375,0.6923671875,-0.55337548828125,-0.023590789794921876,-0.110483642578125,-1.05810546875,-0.0505992431640625,-0.16647265625,6.599,11.75,1.409912109375e-05
llama3.2-3B,8,0.2857142857142857,Hallucinations,1.2420859375,0.67328125,0.3201015625,0.0671854248046875,-0.036173095703125,0.22220751953125,0.08300390625,-0.059291748046875,6.64625,11.75,1.4130592346191406e-05
llama3.2-3B,8,0.2857142857142857,Impossible,1.179296875,0.6782890625,1.24137109375,0.158501953125,0.0458597412109375,0.1664375,0.0729013671875,-0.0587470703125,6.75025,11.75,1.3946533203125e-05
llama3.2-3B,9,0.32142857142857145,Factual,1.225265625,0.6376015625,-0.88439892578125,-0.0704149169921875,-0.1084267578125,-0.960201171875,-0.0929468994140625,-0.08576513671875,7.12525,,
llama3.2-3B,9,0.32142857142857145,Hallucinations,1.305734375,0.637453125,0.22887109375,0.04557568359375,-0.0282364501953125,0.600060546875,0.07392333984375,0.0188251953125,7.20775,,
llama3.2-3B,9,0.32142857142857145,Impossible,1.1915390625,0.663546875,1.268,0.16039453125,0.03671246337890625,0.575421875,0.0720877685546875,0.01672149658203125,7.23475,,
llama3.2-3B,10,0.35714285714285715,Factual,1.2474921875,0.64903125,-1.07200634765625,-0.076243896484375,-0.1307734375,-1.384466796875,-0.105208251953125,-0.1378564453125,7.0735,11.75,1.4305591583251954e-05
llama3.2-3B,10,0.35714285714285715,Hallucinations,1.315140625,0.65383984375,0.27809375,0.0574349365234375,-0.033301025390625,0.37404296875,0.0753721923828125,-0.0214493408203125,7.06275,11.75,1.4548778533935547e-05
llama3.2-3B,10,0.35714285714285715,Impossible,1.1656875,0.6906796875,1.2938125,0.16741796875,0.0271297607421875,0.432037109375,0.073224365234375,-0.0041768798828125,7.183,11.75,1.4771938323974609e-05
llama3.2-3B,11,0.39285714285714285,Factual,1.56021875,0.51268359375,-1.66805078125,-0.1329873046875,-0.1246943359375,-1.7120625,-0.14021533203125,-0.108923828125,8.17275,,
llama3.2-3B,11,0.39285714285714285,Hallucinations,1.733921875,0.48958203125,0.0462900390625,0.02784283447265625,-0.0196005859375,0.489666015625,0.0742745361328125,0.0132796630859375,8.12725,,
llama3.2-3B,11,0.39285714285714285,Impossible,1.59653125,0.512453125,1.2511640625,0.1470335693359375,0.0472872314453125,0.5606396484375,0.08048779296875,0.01792529296875,8.14575,,
llama3.2-3B,12,0.42857142857142855,Factual,1.3901015625,0.4987578125,-2.23141015625,-0.145014404296875,-0.15944970703125,-2.25559375,-0.1397952880859375,-0.14587353515625,9.2925,11.75,1.7093658447265625e-05
llama3.2-3B,12,0.42857142857142855,Hallucinations,1.679359375,0.46094140625,0.1296923828125,0.0261883544921875,-0.0071514892578125,0.681259765625,0.0815628662109375,0.0338017578125,9.027,11.75,1.719474792480469e-05
llama3.2-3B,12,0.42857142857142855,Impossible,1.4864296875,0.502546875,1.5391796875,0.1505838623046875,0.0640400390625,0.775240234375,0.08742138671875,0.043084716796875,9.0355,11.75,1.7213821411132813e-05
llama3.2-3B,13,0.4642857142857143,Factual,1.37009375,0.49625,-2.4477265625,-0.13875875854492187,-0.16462109375,-2.669064453125,-0.1255003662109375,-0.1940078125,10.233,,
llama3.2-3B,13,0.4642857142857143,Hallucinations,1.63309375,0.46387890625,0.61288671875,0.0703409423828125,0.00232232666015625,0.9887939453125,0.12499267578125,0.01182379150390625,9.8275,,
llama3.2-3B,13,0.4642857142857143,Impossible,1.485625,0.505140625,1.988853515625,0.19565625,0.0482852783203125,1.03973828125,0.131177734375,0.01153460693359375,9.9075,,
llama3.2-3B,14,0.5,Factual,1.306453125,0.563484375,-1.4969296875,-0.11131719970703124,-0.03161216735839844,-1.6432265625,-0.1077689208984375,-0.0283138427734375,11.5415,11.75,2.320098876953125e-05
llama3.2-3B,14,0.5,Hallucinations,1.4955625,0.513484375,1.5790546875,0.112439453125,0.0558043212890625,2.254671875,0.1806484375,0.0849195556640625,11.802,11.75,2.51617431640625e-05
