model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
mistralv1-7B,0,0.0,Factual,1.03215625,0.2553046875,-0.07826220703125,-0.203074951171875,-0.1912939453125,-0.10099365234375,-0.27408984375,-0.247392578125,0.272453125,10.375,3.147125244140625e-05
mistralv1-7B,0,0.0,Hallucinations,1.07953125,0.17032177734375,-0.0097259521484375,-0.06874755859375,-0.059439453125,-0.021484375,-0.08988427734375,-0.06114306640625,0.285265625,10.375,3.148651123046875e-05
mistralv1-7B,0,0.0,Impossible,0.948232421875,0.1782275390625,0.009581298828125,-0.071705078125,-0.07502099609375,-0.0252685546875,-0.12633349609375,-0.11102685546875,0.3244375,10.375,3.15093994140625e-05
mistralv1-7B,1,0.03125,Factual,0.75328515625,0.3195,-32.58917041015625,0.008114654541015625,-0.04484872436523438,-33.22864599609375,0.0065283203125,-0.023015625,33.612890625,,
mistralv1-7B,1,0.03125,Hallucinations,0.809376953125,0.22193115234375,-24.281175048828125,0.005858871459960937,-0.09919970703125,-24.818492553710936,0.005875106811523438,-0.088402099609375,25.366453125,,
mistralv1-7B,1,0.03125,Impossible,0.70146875,0.2264150390625,-26.500298736572265,0.0075290298461914065,-0.031725341796875,-27.20797805786133,0.006200508117675781,-0.0138134765625,27.99515625,,
mistralv1-7B,2,0.0625,Factual,1.021,0.2741328125,-32.620560546875,-0.0727071533203125,-0.00585772705078125,-33.17448046875,-0.05736376953125,0.0019833984375,33.83884375,9.47775,0.0529095573425293
mistralv1-7B,2,0.0625,Hallucinations,0.8823583984375,0.19088427734375,-24.31051025390625,-0.048358642578125,-0.0132998046875,-24.803174926757812,-0.03686453247070313,-0.010926513671875,25.55465625,9.69925,0.04117247009277344
mistralv1-7B,2,0.0625,Impossible,0.760197265625,0.1940947265625,-26.530410400390625,-0.047404632568359376,-0.03537042236328125,-27.1445908203125,-0.03752740478515625,-0.03370361328125,28.204875,9.61325,0.047210369110107425
mistralv1-7B,3,0.09375,Factual,1.3475810546875,0.20566796875,-32.640517578125,-0.08724658203125,0.084788330078125,-33.194076171875,-0.06884423828125,0.0951962890625,33.9445625,,
mistralv1-7B,3,0.09375,Hallucinations,1.1837939453125,0.14172021484375,-24.3315341796875,-0.057716552734375,0.12391845703125,-24.82398779296875,-0.043780517578125,0.134767578125,25.6885,,
mistralv1-7B,3,0.09375,Impossible,1.071833984375,0.1448056640625,-26.56341259765625,-0.05561865234375,0.075255126953125,-27.1746416015625,-0.04402490234375,0.083158447265625,28.3503125,,
mistralv1-7B,4,0.125,Factual,1.303060546875,0.2383046875,-32.479072265625,-0.0946796875,0.04696026611328125,-33.131451171875,-0.0747294921875,0.0504810791015625,34.3148125,9.477875,0.05290588188171387
mistralv1-7B,4,0.125,Hallucinations,1.1118134765625,0.16813427734375,-24.2065771484375,-0.064447265625,0.0745330810546875,-24.7827109375,-0.0486971435546875,0.07788201904296875,25.99028125,9.6985,0.04109453773498535
mistralv1-7B,4,0.125,Impossible,1.0006953125,0.1691962890625,-26.433399230957033,-0.058489013671875,0.03081475830078125,-27.139740234375,-0.04647189331054687,0.0308760986328125,28.6869375,9.613,0.04725749397277832
mistralv1-7B,5,0.15625,Factual,1.4103583984375,0.19082421875,-32.4761484375,-0.09179345703125,0.06550634765625,-33.1988125,-0.0721795654296875,0.07675146484375,34.5088125,,
mistralv1-7B,5,0.15625,Hallucinations,1.2434013671875,0.13339208984375,-24.199104370117187,-0.0577108154296875,0.057410400390625,-24.815251953125,-0.04297052001953125,0.0656748046875,26.173375,,
mistralv1-7B,5,0.15625,Impossible,1.1339453125,0.1342353515625,-26.431240234375,-0.05074053955078125,0.0331988525390625,-27.1756767578125,-0.040966552734375,0.0386094970703125,28.8949375,,
mistralv1-7B,6,0.1875,Factual,1.212833984375,0.2535546875,-32.522609375,-0.093478759765625,-0.07498884582519531,-33.245546875,-0.0736485595703125,-0.070944580078125,34.699625,9.47725,0.052949104309082035
mistralv1-7B,6,0.1875,Hallucinations,1.122361328125,0.18014990234375,-24.25762109375,-0.05689410400390625,-0.0559013671875,-24.870798828125,-0.041826385498046875,-0.05283203125,26.41825,9.69825,0.04107532691955566
mistralv1-7B,6,0.1875,Impossible,1.01306640625,0.1798525390625,-26.4983896484375,-0.049553955078125,-0.07619189453125,-27.236056640625,-0.04042218017578125,-0.07622705078125,29.144875,9.6115,0.047320295333862304
