model,layer,relative_depth,bucket,lid,isotropy,entropy
mistralv1-7B,0,0.0,1_Factual,35.20394143884212,0.7837659140661923,106.67613
mistralv1-7B,0,0.0,2_Impossible,-102486999.61351775,0.009622824429493054,174.38821
mistralv1-7B,0,0.0,3_Hallucination,-102231175.84637015,0.012924379116584723,183.85765
mistralv1-7B,1,0.03125,1_Factual,15.710682609363682,1.1563640458893675e-05,1.2950128
mistralv1-7B,1,0.03125,2_Impossible,35.56342074417652,0.03865508477943239,2.6194868
mistralv1-7B,1,0.03125,3_Hallucination,-11792423.68438907,0.029014663704284523,2.5345702
mistralv1-7B,2,0.0625,1_Factual,16.49055659540093,1.1706175194411778e-05,1.4606801
mistralv1-7B,2,0.0625,2_Impossible,36.991104756415474,0.03867965736706327,3.2771857
mistralv1-7B,2,0.0625,3_Hallucination,-11792424.198704788,0.029034575747852755,3.143289
mistralv1-7B,3,0.09375,1_Factual,10.01884184702851,1.1992403498826424e-05,1.6974713
mistralv1-7B,3,0.09375,2_Impossible,26.98666931569571,0.03870873344658899,4.256296
mistralv1-7B,3,0.09375,3_Hallucination,-11792430.164430648,0.029051899324065704,3.9804332
mistralv1-7B,4,0.125,1_Factual,11.888102801176737,1.597717966586107e-05,1.9974678
mistralv1-7B,4,0.125,2_Impossible,27.236585219562617,0.03872648547177639,5.5309615
mistralv1-7B,4,0.125,3_Hallucination,-11792431.487107718,0.02906546272091966,5.0667367
mistralv1-7B,5,0.15625,1_Factual,11.01853109117221,2.165563336642939e-05,2.504994
mistralv1-7B,5,0.15625,2_Impossible,21.03061826415664,0.038713058068209426,7.6097107
mistralv1-7B,5,0.15625,3_Hallucination,-11792432.872470878,0.029056733462251013,6.7553205
mistralv1-7B,6,0.1875,1_Factual,11.183112281569025,2.857487753025829e-05,2.9372654
mistralv1-7B,6,0.1875,2_Impossible,21.212791056128598,0.03872925238720492,9.680654
mistralv1-7B,6,0.1875,3_Hallucination,-11792434.340653973,0.029067019190952573,8.573879
mistralv1-7B,7,0.21875,1_Factual,11.358732171957138,3.7889782309700286e-05,3.4454377
mistralv1-7B,7,0.21875,2_Impossible,20.233606313906048,0.03880420912576101,12.06935
mistralv1-7B,7,0.21875,3_Hallucination,-11792433.0756515,0.02911956524210839,10.591685
mistralv1-7B,8,0.25,1_Factual,11.737593822870776,4.6126966774255654e-05,3.9517665
