model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
qwen2.5-7B,0,0.0,Factual,1.487703125,0.021949951171875,0.665984375,0.09448046875,0.022878097534179687,-3.64625,-0.1314609375,-0.27753125,12.1815,11.875,2.5063514709472655e-05
qwen2.5-7B,0,0.0,Hallucinations,1.58584375,0.01889544677734375,0.76446875,0.1006015625,0.03021356201171875,-3.213,-0.1103359375,-0.2446484375,12.078,11.875,2.487945556640625e-05
qwen2.5-7B,0,0.0,Impossible,1.466515625,0.0218626708984375,1.04984375,0.11380078125,0.053130859375,-3.558875,-0.1261953125,-0.269828125,12.2055,11.875,2.5165557861328127e-05
qwen2.5-7B,1,0.03571428571428571,Factual,1.739765625,0.0843427734375,-6.0305,-0.070123046875,-0.40453125,-4.27025,-0.0966484375,-0.05733203125,17.108,,
qwen2.5-7B,1,0.03571428571428571,Hallucinations,1.835921875,0.07967236328125,-5.86175,-0.0667734375,-0.404046875,-3.609,-0.0828984375,-0.04984375,16.973,,
qwen2.5-7B,1,0.03571428571428571,Impossible,1.7474375,0.08537548828125,-5.52225,-0.0605703125,-0.3983125,-4.14375,-0.0944296875,-0.055359375,16.941,,
qwen2.5-7B,2,0.07142857142857142,Factual,1.905796875,0.138943359375,-4.646875,-0.09318359375,-0.08246484375,-2.267875,-0.08880859375,-0.0305703125,18.996,11.7055,0.00012131118774414062
qwen2.5-7B,2,0.07142857142857142,Hallucinations,2.006328125,0.1343330078125,-4.288875,-0.0845,-0.073265625,-1.32284375,-0.06631640625,-0.0105631103515625,18.944,11.694,0.00012770843505859376
qwen2.5-7B,2,0.07142857142857142,Impossible,1.912640625,0.138916015625,-3.889,-0.073787109375,-0.06633984375,-1.9796875,-0.08219140625,-0.0213978271484375,18.837,11.7195,0.00011935806274414063
qwen2.5-7B,3,0.10714285714285714,Factual,1.724375,0.034297607421875,-5.03775,-0.1348125,-0.113453125,-1.3417890625,-0.14545703125,0.095083984375,19.625,,
qwen2.5-7B,3,0.10714285714285714,Hallucinations,1.8376875,0.033425048828125,-4.664375,-0.12464453125,-0.106828125,-0.16932781982421874,-0.11706640625,0.1239296875,19.625,,
qwen2.5-7B,3,0.10714285714285714,Impossible,1.732484375,0.034835205078125,-4.162375,-0.11123046875,-0.09223828125,-1.060953125,-0.13673828125,0.09843359375,19.428,,
qwen2.5-7B,4,0.14285714285714285,Factual,0.7575703125,0.7735546875,-4.90275,-0.14440625,-0.093203125,-0.45710302734375,-0.0676171875,0.1068095703125,22.788,11.75,0.0001035308837890625
qwen2.5-7B,4,0.14285714285714285,Hallucinations,0.8156953125,0.7624765625,-4.40725,-0.13201171875,-0.0802509765625,1.22401171875,-0.02885107421875,0.15435546875,22.881,11.75,0.000111663818359375
qwen2.5-7B,4,0.14285714285714285,Impossible,0.7618515625,0.7740546875,-3.215875,-0.1091875,-0.02546746826171875,0.039552734375,-0.055798828125,0.12047265625,22.514,11.75,0.00010480880737304688
qwen2.5-7B,5,0.17857142857142858,Factual,0.7536796875,0.7559609375,-4.790125,-0.1840625,0.007560958862304687,0.609658447265625,-0.06758544921875,0.077076171875,26.796,,
qwen2.5-7B,5,0.17857142857142858,Hallucinations,0.794828125,0.7500390625,-3.921625,-0.16551953125,0.0261429443359375,2.8554375,-0.014839435577392578,0.1146953125,27.067,,
