model,layer,relative_depth,boundary_type,evaluated_on,boundary_norm,boundary_stability,boundary_entropy,boundary_max_prob,fisher_info,hessian_curvature,jac_amplification,grad_blockage,grad_alignment,vocab_alignment,betti_0,betti_1
qwen2.5-7B,0,0.0,Impossible,Impossible,0.3287880644320299,,11.9375,6.943941116333008e-06,0.82860559383278,0.015781567135180224,3.4482421875,0.0003200029022991657,0.0023601730208611116,0.1689453125,1,0
qwen2.5-7B,0,0.0,Impossible,Factual,0.3287880644320299,,11.9375,6.943941116333008e-06,0.7144431605924899,-0.014189019772515792,3.87890625,0.012070039621903561,0.022023358469596133,0.1689453125,1,0
qwen2.5-7B,0,0.0,Hallucination,Hallucination,0.4158845528163652,,11.9375,6.973743438720703e-06,2.3182353984279334,0.00717510784315982,2.7763671875,0.0006495199486380443,-0.0007092419618857093,0.1728515625,1,0
qwen2.5-7B,0,0.0,Hallucination,Factual,0.4158845528163652,,11.9375,6.973743438720703e-06,0.964126862079938,-0.049779073642945544,3.7177734375,-0.009087397556868382,0.007076272609992884,0.1728515625,1,0
qwen2.5-7B,1,0.03571428571428571,Impossible,Impossible,0.4354403862860076,0.6605748235764494,11.9375,7.0035457611083984e-06,0.7501402622988559,0.003823088508868652,1.10205078125,-0.000534503284143284,-0.002691596877411939,0.224609375,1,0
qwen2.5-7B,1,0.03571428571428571,Impossible,Factual,0.4354403862860076,0.6605748235764494,11.9375,7.0035457611083984e-06,0.5746490835219927,-0.030568623109309842,1.123046875,0.005719519511330873,0.02408675802871585,0.224609375,1,0
qwen2.5-7B,1,0.03571428571428571,Hallucination,Hallucination,0.6241600167053019,0.6263896263671271,11.9375,6.973743438720703e-06,0.8383331113284517,-0.007854522342022082,1.01025390625,0.001667636912316084,0.0004146297724219039,0.1728515625,1,0
qwen2.5-7B,1,0.03571428571428571,Hallucination,Factual,0.6241600167053019,0.6263896263671271,11.9375,6.973743438720703e-06,0.7483657443806206,-0.02957916270059688,1.0234375,-0.00544239989540074,-0.004784375239978544,0.1728515625,1,0
qwen2.5-7B,2,0.07142857142857142,Impossible,Impossible,0.7959491176388007,0.6157035135959006,11.9375,6.973743438720703e-06,0.7408409619678126,0.007299866415620861,1.11962890625,0.0004161328397458419,-0.003437770705204457,0.171875,1,0
qwen2.5-7B,2,0.07142857142857142,Impossible,Factual,0.7959491176388007,0.6157035135959006,11.9375,6.973743438720703e-06,0.6499638420129273,-0.022248559463942927,1.1376953125,-0.007645634992513806,0.014832788932835683,0.171875,1,0
qwen2.5-7B,2,0.07142857142857142,Hallucination,Hallucination,1.0098009895104483,0.6599233123138009,11.9375,7.0035457611083984e-06,0.8918206761028679,0.007832774404256143,1.14697265625,-0.0010225887890555896,-0.0004797028741450049,0.2099609375,1,0
qwen2.5-7B,2,0.07142857142857142,Hallucination,Factual,1.0098009895104483,0.6599233123138009,11.9375,7.0035457611083984e-06,0.5777239755057613,-0.018362595294887187,1.1796875,-0.005159399734111503,-0.012816389091312885,0.2099609375,1,0
