model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
qwen2.5it-3B,0,0.0,Factual,0.9496015625,0.0153447265625,1.3053125,0.07417578125,0.042939453125,-2.2553125,-0.09894140625,-0.0590087890625,18.559,11.823,4.679107666015625e-05
qwen2.5it-3B,0,0.0,Hallucinations,1.0021640625,0.0129266357421875,1.387,0.07769140625,0.047189453125,-1.76325,-0.08429296875,-0.03133453369140625,18.512,11.8235,4.660224914550781e-05
qwen2.5it-3B,0,0.0,Impossible,0.9420078125,0.0159151611328125,1.604,0.08583203125,0.05811328125,-2.206375,-0.09584375,-0.056748046875,18.579,11.817,4.727363586425781e-05
qwen2.5it-3B,1,0.027777777777777776,Factual,1.820453125,0.07625439453125,0.191777099609375,0.009896484375,-0.07163671875,-3.011,-0.08183984375,-0.017605712890625,22.191,,
qwen2.5it-3B,1,0.027777777777777776,Hallucinations,1.935734375,0.06614599609375,0.27164453125,0.0103154296875,-0.0731328125,-2.3555625,-0.07933984375,-0.01371240234375,22.137,,
qwen2.5it-3B,1,0.027777777777777776,Impossible,1.825984375,0.07714697265625,0.60825,0.0116474609375,-0.0700234375,-2.960375,-0.08162109375,-0.01880419921875,22.212,,
qwen2.5it-3B,2,0.05555555555555555,Factual,1.790109375,0.153677734375,-1.14340625,-0.058849609375,0.073123046875,-3.0025625,-0.07708203125,-0.0494609375,22.421,11.8125,6.072998046875e-05
qwen2.5it-3B,2,0.05555555555555555,Hallucinations,1.914328125,0.1461611328125,-0.95475,-0.0559765625,0.07672265625,-2.091875,-0.0626015625,-0.035759765625,22.341,11.8125,6.166267395019531e-05
qwen2.5it-3B,2,0.05555555555555555,Impossible,1.7961875,0.1561318359375,-0.54333984375,-0.049083984375,0.08353125,-2.879125,-0.075404296875,-0.04515234375,22.417,11.8125,6.10504150390625e-05
qwen2.5it-3B,3,0.08333333333333333,Factual,0.8875390625,0.6277109375,-1.79903125,-0.050083984375,0.055154296875,-2.7610625,-0.071892578125,0.0434169921875,24.828,,
qwen2.5it-3B,3,0.08333333333333333,Hallucinations,0.9365859375,0.6216015625,-1.07290625,-0.036880859375,0.07644140625,-1.19269140625,-0.03999609375,0.071453125,24.787,,
qwen2.5it-3B,3,0.08333333333333333,Impossible,0.875875,0.633859375,-0.692208984375,-0.029001953125,0.08063671875,-2.2486875,-0.063193359375,0.0596015625,24.812,,
qwen2.5it-3B,4,0.1111111111111111,Factual,0.861484375,0.7272265625,-3.426875,-0.08691796875,-0.064283203125,-4.524125,-0.095,-0.11916796875,25.476,11.76,7.574081420898438e-05
qwen2.5it-3B,4,0.1111111111111111,Hallucinations,0.893765625,0.7291015625,-2.5990625,-0.069748046875,-0.051658203125,-2.71625,-0.0594453125,-0.083677734375,25.32,11.7655,7.532119750976563e-05
qwen2.5it-3B,4,0.1111111111111111,Impossible,0.851984375,0.7355,-2.1676875,-0.060517578125,-0.045861328125,-3.94825,-0.083759765625,-0.10654296875,25.381,11.7665,7.585906982421875e-05
qwen2.5it-3B,5,0.1388888888888889,Factual,0.657265625,0.785453125,-2.54925,-0.070041015625,0.0359521484375,-3.9305625,-0.083822265625,0.0387236328125,26.094,,
qwen2.5it-3B,5,0.1388888888888889,Hallucinations,0.697484375,0.779953125,-1.76571875,-0.056,0.044013671875,-2.09421875,-0.0515537109375,0.052140625,25.986,,
qwen2.5it-3B,5,0.1388888888888889,Impossible,0.6664609375,0.7842421875,-1.268609375,-0.046728515625,0.0443515625,-3.385875,-0.073689453125,0.03956640625,26.03,,
qwen2.5it-3B,6,0.16666666666666666,Factual,1.0405390625,0.604375,1.091109375,-0.0396298828125,0.107765625,-5.093375,-0.11166796875,-0.045213623046875,33.954,11.63,0.000163116455078125
qwen2.5it-3B,6,0.16666666666666666,Hallucinations,1.0984765625,0.597484375,2.0518125,-0.02637548828125,0.1248984375,-2.76353125,-0.079646484375,-0.010069534301757813,33.828,11.63,0.0001666717529296875
qwen2.5it-3B,6,0.16666666666666666,Impossible,1.0485625,0.60278125,2.6538125,-0.01569927978515625,0.1283125,-4.452125,-0.1024453125,-0.034714935302734375,34.112,11.6275,0.00016811370849609375
qwen2.5it-3B,7,0.19444444444444445,Factual,1.266796875,0.50331640625,0.012431884765625,-0.0470107421875,0.0555859375,-5.5465,-0.14819140625,0.004607864379882812,36.828,,
qwen2.5it-3B,7,0.19444444444444445,Hallucinations,1.335546875,0.50716015625,1.79975,-0.0272890625,0.09841015625,-2.26009375,-0.10621875,0.06556640625,36.646,,
qwen2.5it-3B,7,0.19444444444444445,Impossible,1.273625,0.50409375,2.679,-0.012190635681152345,0.11251953125,-4.0963125,-0.131671875,0.042668212890625,37.004,,
qwen2.5it-3B,8,0.2222222222222222,Factual,1.157125,0.5986171875,-7.232,-0.088984375,-0.2065546875,-7.048125,-0.101220703125,-0.1570078125,39.526,11.5555,0.00025901031494140624
qwen2.5it-3B,8,0.2222222222222222,Hallucinations,1.226,0.582515625,-4.955625,-0.063921875,-0.16983203125,-2.83715625,-0.0486298828125,-0.1059375,39.184,11.5625,0.0002423095703125
qwen2.5it-3B,8,0.2222222222222222,Impossible,1.191953125,0.5903515625,-2.964421875,-0.0401083984375,-0.131859375,-4.742375,-0.073359375,-0.12890234375,39.066,11.562,0.00023218536376953125
qwen2.5it-3B,9,0.25,Factual,0.7082421875,0.7785625,-6.4205,-0.1024140625,-0.119361328125,-6.550625,-0.103369140625,-0.054334228515625,38.786,,
qwen2.5it-3B,9,0.25,Hallucinations,0.754484375,0.7696640625,-3.6994375,-0.0734765625,-0.0573609619140625,-2.22914453125,-0.0478662109375,0.011585372924804688,38.502,,
qwen2.5it-3B,9,0.25,Impossible,0.7294765625,0.773734375,-1.88896875,-0.04812646484375,-0.0312318115234375,-3.6968125,-0.072056640625,0.009535186767578125,38.428,,
