model,layer,relative_depth,bucket,lid,isotropy,entropy
qwen3-32B,0,0.0,1_Factual,12.811797817138283,0.0747542884805248,253.299
qwen3-32B,0,0.0,2_Impossible,19.41426002685087,0.16485124952497368,517.3411
qwen3-32B,0,0.0,3_Hallucination,16.103454437309395,0.09509271486940298,494.96368
qwen3-32B,1,0.015625,1_Factual,11.696472555126626,0.09419046205191371,256.8183
qwen3-32B,1,0.015625,2_Impossible,17.723328563263305,0.21279463749546482,529.34576
qwen3-32B,1,0.015625,3_Hallucination,14.72248044046519,0.12163465907828122,511.94702
qwen3-32B,2,0.03125,1_Factual,10.773607151391692,0.19820861920730345,256.16132
qwen3-32B,2,0.03125,2_Impossible,15.577540921939093,0.4728331163871798,523.2001
qwen3-32B,2,0.03125,3_Hallucination,13.801081171158948,0.369697406493848,521.0242
qwen3-32B,3,0.046875,1_Factual,9.652811767545561,0.22231315205948096,260.53656
qwen3-32B,3,0.046875,2_Impossible,14.628505594652673,0.6249075848360721,536.6935
qwen3-32B,3,0.046875,3_Hallucination,13.03152258835817,0.5219247960327611,530.41754
qwen3-32B,4,0.0625,1_Factual,9.633666608061118,0.3058411340524872,261.6385
qwen3-32B,4,0.0625,2_Impossible,14.759715196081597,0.7097447686181579,540.62585
qwen3-32B,4,0.0625,3_Hallucination,13.48134181884646,0.6690442665100448,538.60443
qwen3-32B,5,0.078125,1_Factual,9.229247463089708,0.34345642979311725,263.64478
qwen3-32B,5,0.078125,2_Impossible,14.706633709210184,0.838621817668797,548.89734
qwen3-32B,5,0.078125,3_Hallucination,13.510408032249192,0.7726384847536161,540.0961
qwen3-32B,6,0.09375,1_Factual,9.09801675681844,0.28437209459932966,248.30751
qwen3-32B,6,0.09375,2_Impossible,15.289258443915843,0.7517129354384853,545.04663
qwen3-32B,6,0.09375,3_Hallucination,13.662545125265327,0.839770601258166,535.51654
qwen3-32B,7,0.109375,1_Factual,9.118358178840335,0.2660661638005642,252.90846
qwen3-32B,7,0.109375,2_Impossible,16.10748945890261,0.7761656684930014,575.791
qwen3-32B,7,0.109375,3_Hallucination,13.965913553422123,0.8373811978872593,546.2959
qwen3-32B,8,0.125,1_Factual,8.858613514476273,0.2790562429182308,250.1659
qwen3-32B,8,0.125,2_Impossible,15.532985926505123,0.7569777498575359,572.9785
qwen3-32B,8,0.125,3_Hallucination,13.875982235174037,0.6943582392459796,540.3661
qwen3-32B,9,0.140625,1_Factual,8.523535390173233,0.24944349170641528,238.31145
qwen3-32B,9,0.140625,2_Impossible,14.698080291326796,0.7271102934693784,556.9131
qwen3-32B,9,0.140625,3_Hallucination,13.446937337325165,0.9082452655091936,523.2051
qwen3-32B,10,0.15625,1_Factual,8.362610289469252,0.3409783382429284,233.5263
qwen3-32B,10,0.15625,2_Impossible,14.173606951825722,0.6869222404455473,549.86475
qwen3-32B,10,0.15625,3_Hallucination,12.888479081990269,0.6454363038481881,506.17358
qwen3-32B,11,0.171875,1_Factual,8.366381618469388,0.5084194739694797,236.73553
qwen3-32B,11,0.171875,2_Impossible,14.230117660518282,0.5790804198030703,564.24084
qwen3-32B,11,0.171875,3_Hallucination,12.582100845123662,0.5971775244034981,513.0844
qwen3-32B,12,0.1875,1_Factual,7.99835342094758,0.5436466572299352,231.76357
qwen3-32B,12,0.1875,2_Impossible,13.744018579432383,0.6161652208547115,561.3607
qwen3-32B,12,0.1875,3_Hallucination,11.959361994621673,0.7556767281514296,502.3818
qwen3-32B,13,0.203125,1_Factual,8.135219756009299,0.6056593522220727,242.41869
qwen3-32B,13,0.203125,2_Impossible,14.051199493701894,0.5816741611984513,579.6474
qwen3-32B,13,0.203125,3_Hallucination,12.49529241813358,0.795696542344033,514.0723
qwen3-32B,14,0.21875,1_Factual,8.120654308193476,0.6689176965383343,240.89119
qwen3-32B,14,0.21875,2_Impossible,13.835793183532719,0.6346265994139431,575.869
qwen3-32B,14,0.21875,3_Hallucination,12.323488152659216,0.6449066332153889,506.46255
qwen3-32B,15,0.234375,1_Factual,8.13136260333824,0.7830562959604194,238.56328
qwen3-32B,15,0.234375,2_Impossible,13.68985278100975,0.6871651237363071,569.7396
qwen3-32B,15,0.234375,3_Hallucination,12.19754441911002,0.6289550069199068,503.27707
qwen3-32B,16,0.25,1_Factual,8.07793858099674,0.7766530229379994,238.65692
qwen3-32B,16,0.25,2_Impossible,13.554131024835407,0.677293663832503,571.0863
qwen3-32B,16,0.25,3_Hallucination,12.08739510369243,0.6466677162923986,504.03046
qwen3-32B,17,0.265625,1_Factual,7.881489608375236,0.7710507148040499,237.78455
qwen3-32B,17,0.265625,2_Impossible,13.608258841595479,0.6373092497032198,575.1717
qwen3-32B,17,0.265625,3_Hallucination,11.929500319048378,0.6058641043608654,506.743
qwen3-32B,18,0.28125,1_Factual,7.897238565878539,0.7538716500786586,239.27086
qwen3-32B,18,0.28125,2_Impossible,13.703126764383297,0.644641858030061,580.1319
qwen3-32B,18,0.28125,3_Hallucination,11.930704233456513,0.616462059280693,510.28442
qwen3-32B,19,0.296875,1_Factual,7.901447365416929,0.7976357905192983,240.17598
qwen3-32B,19,0.296875,2_Impossible,13.763843964195559,0.6298646138733016,581.7921
qwen3-32B,19,0.296875,3_Hallucination,11.854643653351996,0.6315219877536586,513.4777
qwen3-32B,20,0.3125,1_Factual,7.976213248206048,0.7399862782432576,242.92809
qwen3-32B,20,0.3125,2_Impossible,14.11905752100428,0.5895441075692123,585.7624
qwen3-32B,20,0.3125,3_Hallucination,12.07327074699539,0.59666191652905,514.65015
qwen3-32B,21,0.328125,1_Factual,7.945090421576231,0.7309429137161533,244.2825
qwen3-32B,21,0.328125,2_Impossible,14.164704551953724,0.5654463374562476,591.6939
qwen3-32B,21,0.328125,3_Hallucination,11.845056355273297,0.5666574508115804,517.1194
qwen3-32B,22,0.34375,1_Factual,7.936505259336721,0.7049376356567233,243.93216
qwen3-32B,22,0.34375,2_Impossible,14.17636784119279,0.5643421958024436,592.7571
qwen3-32B,22,0.34375,3_Hallucination,11.754979472069417,0.5589539819040265,516.2505
qwen3-32B,23,0.359375,1_Factual,7.997730449595067,0.6376465111758649,242.79744
qwen3-32B,23,0.359375,2_Impossible,14.224592847984654,0.5389126020645298,592.14886
qwen3-32B,23,0.359375,3_Hallucination,11.78704869275451,0.5307495550067423,514.9187
qwen3-32B,24,0.375,1_Factual,7.945190237398783,0.6128661772332853,242.27553
qwen3-32B,24,0.375,2_Impossible,14.135111824892109,0.5441454693699156,593.0466
qwen3-32B,24,0.375,3_Hallucination,11.714441739312846,0.5010769445836981,513.347
qwen3-32B,25,0.390625,1_Factual,7.9842031409847065,0.6307586870296694,244.66719
qwen3-32B,25,0.390625,2_Impossible,14.275422174053825,0.568045821549725,597.8256
qwen3-32B,25,0.390625,3_Hallucination,11.765979506479809,0.49462680455848557,519.08966
qwen3-32B,26,0.40625,1_Factual,7.983396162897583,0.6658574028738715,246.50407
qwen3-32B,26,0.40625,2_Impossible,14.238577367370437,0.5538555815832729,601.4535
qwen3-32B,26,0.40625,3_Hallucination,11.696277281662923,0.4808120311587405,521.3612
qwen3-32B,27,0.421875,1_Factual,7.98792920365756,0.6654310758044087,246.26161
qwen3-32B,27,0.421875,2_Impossible,14.268776005860781,0.5598342683467761,603.49115
qwen3-32B,27,0.421875,3_Hallucination,11.61349253115717,0.4465755807157646,520.66956
qwen3-32B,28,0.4375,1_Factual,8.017015711161045,0.6665253799465064,245.39676
qwen3-32B,28,0.4375,2_Impossible,14.16624486409922,0.5127649378479602,601.7665
qwen3-32B,28,0.4375,3_Hallucination,11.371997553204517,0.45640433165442335,518.9676
qwen3-32B,29,0.453125,1_Factual,8.00942783107258,0.6690432511219017,247.01617
qwen3-32B,29,0.453125,2_Impossible,14.297964718522605,0.474858943301642,607.9014
qwen3-32B,29,0.453125,3_Hallucination,11.381521579438633,0.4531164761306255,522.3231
qwen3-32B,30,0.46875,1_Factual,8.02999151197098,0.6472729126115185,248.47678
qwen3-32B,30,0.46875,2_Impossible,14.477889036326484,0.47678710373627925,614.1674
qwen3-32B,30,0.46875,3_Hallucination,11.371544230041795,0.4479933954152051,525.3606
qwen3-32B,31,0.484375,1_Factual,8.061970980984178,0.7639432288330874,251.81464
qwen3-32B,31,0.484375,2_Impossible,14.798088842413355,0.4652784819652381,622.40704
qwen3-32B,31,0.484375,3_Hallucination,11.505565884566222,0.4571498751866816,532.9383
qwen3-32B,32,0.5,1_Factual,8.050237566007233,0.7614562083287555,253.01488
qwen3-32B,32,0.5,2_Impossible,14.875988900413281,0.45509939178832365,623.6783
qwen3-32B,32,0.5,3_Hallucination,11.56011765282604,0.4687414825999808,535.4162
qwen3-32B,33,0.515625,1_Factual,8.048045226377331,0.664259176702509,251.16513
qwen3-32B,33,0.515625,2_Impossible,14.785184454671118,0.43842894114979064,621.7766
qwen3-32B,33,0.515625,3_Hallucination,11.552292410613994,0.5092695566787591,532.94415
qwen3-32B,34,0.53125,1_Factual,8.061978011089607,0.6018589444300977,249.7847
qwen3-32B,34,0.53125,2_Impossible,14.910965523072141,0.4371494649673854,623.50934
qwen3-32B,34,0.53125,3_Hallucination,11.633205463854697,0.5076841647417593,535.8335
qwen3-32B,35,0.546875,1_Factual,8.187059987020557,0.536443023801793,250.65533
qwen3-32B,35,0.546875,2_Impossible,15.198757365670845,0.41908529696829644,628.08563
qwen3-32B,35,0.546875,3_Hallucination,11.742660194479454,0.48553613566964104,539.9084
qwen3-32B,36,0.5625,1_Factual,8.193858874106136,0.4694463590945659,249.3639
qwen3-32B,36,0.5625,2_Impossible,15.17399526153015,0.4150425406310259,630.28656
qwen3-32B,36,0.5625,3_Hallucination,11.728236626531288,0.4415885030227488,541.32544
qwen3-32B,37,0.578125,1_Factual,8.635919351263542,0.4305354200913565,254.71674
qwen3-32B,37,0.578125,2_Impossible,15.60704238969063,0.412431180073032,642.19586
qwen3-32B,37,0.578125,3_Hallucination,12.016237379340163,0.4434545245533116,548.165
qwen3-32B,38,0.59375,1_Factual,8.763026407354456,0.4524404632054115,254.92462
qwen3-32B,38,0.59375,2_Impossible,15.702427132158924,0.44654185454946577,642.3971
qwen3-32B,38,0.59375,3_Hallucination,12.031881656204929,0.4507446929134322,548.4955
qwen3-32B,39,0.609375,1_Factual,8.73057551096696,0.47671644645063427,256.29666
qwen3-32B,39,0.609375,2_Impossible,15.797393324885084,0.43453939484550763,642.78595
qwen3-32B,39,0.609375,3_Hallucination,12.065241708946205,0.4670625681645663,550.063
qwen3-32B,40,0.625,1_Factual,8.645908344390913,0.485537598299201,254.78343
qwen3-32B,40,0.625,2_Impossible,15.75735298534756,0.4159141733990141,639.72363
qwen3-32B,40,0.625,3_Hallucination,12.185012694495935,0.4296579990266002,548.9478
qwen3-32B,41,0.640625,1_Factual,8.62846917938401,0.5340854365322616,256.46173
qwen3-32B,41,0.640625,2_Impossible,15.685958403445252,0.3994114305465685,642.70135
qwen3-32B,41,0.640625,3_Hallucination,12.278111238205605,0.41891082366838517,554.4718
qwen3-32B,42,0.65625,1_Factual,8.743457687666412,0.5689291636865103,262.76874
qwen3-32B,42,0.65625,2_Impossible,15.878023893824027,0.39539652957719756,649.72437
qwen3-32B,42,0.65625,3_Hallucination,12.628476164221858,0.41548536239518086,564.38477
qwen3-32B,43,0.671875,1_Factual,8.8599803299298,0.609893979177874,265.45905
qwen3-32B,43,0.671875,2_Impossible,15.91586261149038,0.40017797203020333,655.3643
qwen3-32B,43,0.671875,3_Hallucination,12.641026566611963,0.3922199315396435,569.98047
qwen3-32B,44,0.6875,1_Factual,9.101543872039967,0.5982269152600795,268.927
qwen3-32B,44,0.6875,2_Impossible,16.160500565232468,0.40705180038179417,662.1884
qwen3-32B,44,0.6875,3_Hallucination,12.695495249425022,0.3735132378986238,576.72314
qwen3-32B,45,0.703125,1_Factual,10.000083844341814,0.5947944194234933,288.0364
qwen3-32B,45,0.703125,2_Impossible,16.914164748124758,0.4405380289915478,687.2019
qwen3-32B,45,0.703125,3_Hallucination,13.527618112103081,0.3803809857440442,607.23944
qwen3-32B,46,0.71875,1_Factual,10.270047769648023,0.5824249781388366,291.94366
qwen3-32B,46,0.71875,2_Impossible,17.119426079364906,0.43447016000545097,694.6138
qwen3-32B,46,0.71875,3_Hallucination,13.771665018968253,0.39572240784193385,616.7332
qwen3-32B,47,0.734375,1_Factual,10.544370414573201,0.5812365563263893,295.34586
qwen3-32B,47,0.734375,2_Impossible,17.275098456991227,0.4291427209376117,699.87415
qwen3-32B,47,0.734375,3_Hallucination,14.305655044540174,0.386183173929498,625.53735
qwen3-32B,48,0.75,1_Factual,10.1919457142295,0.6511006923952876,295.00958
qwen3-32B,48,0.75,2_Impossible,17.599527189983608,0.46591540017342337,713.0823
qwen3-32B,48,0.75,3_Hallucination,15.101065259190557,0.42976416454118327,630.1736
qwen3-32B,49,0.765625,1_Factual,11.437186710252428,0.6858983714562142,311.67096
qwen3-32B,49,0.765625,2_Impossible,17.980474696712257,0.48173532842275923,719.359
qwen3-32B,49,0.765625,3_Hallucination,16.603602363118764,0.3916487456552381,646.7511
qwen3-32B,50,0.78125,1_Factual,11.570740573498341,0.6459959491156435,318.91147
qwen3-32B,50,0.78125,2_Impossible,18.037933430146506,0.4869231289713008,722.4831
qwen3-32B,50,0.78125,3_Hallucination,16.8958536119215,0.44187960107782015,663.46533
qwen3-32B,51,0.796875,1_Factual,12.098186323569807,0.620222020324265,323.6671
qwen3-32B,51,0.796875,2_Impossible,17.862178811039886,0.49727736323313093,723.7914
qwen3-32B,51,0.796875,3_Hallucination,17.628846904247958,0.4755617262130761,667.60834
qwen3-32B,52,0.8125,1_Factual,13.063755198005744,0.6341954731246758,334.7641
qwen3-32B,52,0.8125,2_Impossible,18.63968445654675,0.5220805909193157,735.8719
qwen3-32B,52,0.8125,3_Hallucination,20.407801146534148,0.5244923202574787,683.1542
qwen3-32B,53,0.828125,1_Factual,13.094969182782606,0.6359248520906239,337.27628
