model,layer,relative_depth,boundary_type,evaluated_on,boundary_norm,boundary_stability,boundary_entropy,boundary_max_prob,fisher_info,hessian_curvature,jac_amplification,grad_blockage,grad_alignment,vocab_alignment,betti_0,betti_1
qwen3-32B,0,0.0,Impossible,Impossible,0.5351583308913027,,11.9375,7.212162017822266e-06,4.563982604538479,-0.002833576283061427,4.642578125,-0.005546442145714536,0.004919067971059121,0.12353515625,1,0
qwen3-32B,0,0.0,Impossible,Factual,0.5351583308913027,,11.9375,7.212162017822266e-06,1.165257636768239,-0.006486661825041241,3.6357421875,-0.015269015610101633,0.000744418439353467,0.12353515625,1,0
qwen3-32B,0,0.0,Hallucination,Hallucination,0.5707003314363739,,11.9375,7.241964340209961e-06,3.0135426461075325,-0.003662172560554844,3.9296875,0.001812856353353709,0.0005428763834061101,0.1474609375,1,0
qwen3-32B,0,0.0,Hallucination,Factual,0.5707003314363739,,11.9375,7.241964340209961e-06,0.7206303181690789,-0.003703099952945892,2.9765625,-0.02021847433934454,0.0020010815642308444,0.1474609375,1,0
qwen3-32B,1,0.015625,Impossible,Impossible,0.6556102791057757,0.8166722988809558,11.9375,7.212162017822266e-06,6.8531866096720195,-0.0007145017302431405,1.10888671875,-0.00037875218549743295,0.001632905172300525,0.1298828125,1,0
qwen3-32B,1,0.015625,Impossible,Factual,0.6556102791057757,0.8166722988809558,11.9375,7.212162017822266e-06,0.6347459509076792,-0.008678048561743546,1.138671875,-0.01845912917633541,0.0031242055047187023,0.1298828125,1,0
qwen3-32B,1,0.015625,Hallucination,Hallucination,0.926594625045061,0.6557108306932973,11.9375,7.241964340209961e-06,4.264367399676144,-0.003276232987826268,1.17138671875,-0.003912665619282052,-0.0008072953642113134,0.13671875,1,0
qwen3-32B,1,0.015625,Hallucination,Factual,0.926594625045061,0.6557108306932973,11.9375,7.241964340209961e-06,0.847732342637275,-0.010123788676769595,1.19140625,-0.017596034274902195,-0.004370544138055266,0.13671875,1,0
qwen3-32B,2,0.03125,Impossible,Impossible,1.0540041324928244,0.6715125075035226,11.9375,7.212162017822266e-06,5.278487268714703,-0.0012517552581485156,1.07177734375,0.004835141618968919,-0.0030197544911061414,0.14453125,1,0
qwen3-32B,2,0.03125,Impossible,Factual,1.0540041324928244,0.6715125075035226,11.9375,7.212162017822266e-06,0.8822271350650844,0.0017052161876339976,1.0830078125,-0.017460759438108653,0.007472931334632449,0.14453125,1,0
qwen3-32B,2,0.03125,Hallucination,Hallucination,1.4151563733991608,0.717487292870155,11.9375,7.212162017822266e-06,5.601510562597829,-0.004753976610375643,1.28369140625,-0.003063663374632597,-0.0036322157466202043,0.146484375,1,0
qwen3-32B,2,0.03125,Hallucination,Factual,1.4151563733991608,0.717487292870155,11.9375,7.212162017822266e-06,0.674015038332,-0.0010006219415367667,1.3046875,-0.023019024709356017,-0.004016546117782127,0.146484375,1,0
qwen3-32B,3,0.046875,Impossible,Impossible,1.4846210635461492,0.7590885287824656,11.9375,7.212162017822266e-06,10.98847060549756,0.001135855739306896,1.17626953125,7.34934292268008e-05,0.001968917335034348,0.138671875,1,0
qwen3-32B,3,0.046875,Impossible,Factual,1.4846210635461492,0.7590885287824656,11.9375,7.212162017822266e-06,0.741927218602921,0.0009079355193291109,1.228515625,-0.0044870600395370275,0.00873287119611632,0.138671875,1,0
qwen3-32B,3,0.046875,Hallucination,Hallucination,1.8734144618630748,0.8057163043820963,11.9375,7.212162017822266e-06,2.6350670280350807,-0.0010658480713107827,1.31103515625,-0.0023243975592777133,-0.0036541046283673495,0.166015625,1,0
qwen3-32B,3,0.046875,Hallucination,Factual,1.8734144618630748,0.8057163043820963,11.9375,7.212162017822266e-06,0.47629554583667605,0.0022613879922727675,1.36083984375,-0.009875160321826115,0.0025401107704965398,0.166015625,1,0
qwen3-32B,4,0.0625,Impossible,Impossible,2.0403476843747392,0.8324304730911098,11.9375,7.271766662597656e-06,3.379613846501213,0.0012453447595950063,1.0908203125,-0.002582571003586054,0.004180331117822789,0.1435546875,1,0
qwen3-32B,4,0.0625,Impossible,Factual,2.0403476843747392,0.8324304730911098,11.9375,7.271766662597656e-06,0.5553124016295821,0.0024176690654610245,1.1064453125,-0.004863677924731746,0.011060253309551626,0.1435546875,1,0
