layer,type,comparison_group,index,score,mean_deviant,mean_factual,ent_deviant,ent_factual
0,neuron_activation,Impossible_vs_Factual,5377,0.4870354235172272,-0.005183272995054722,-0.01019210647791624,,
0,neuron_activation,Impossible_vs_Factual,9795,0.4532668888568878,0.00706613389775157,-0.002160669770091772,,
0,neuron_activation,Impossible_vs_Factual,9789,0.4504060745239258,0.008255324326455593,0.003454846329987049,,
0,neuron_activation,Impossible_vs_Factual,7467,0.44943487644195557,0.0014204559847712517,-0.003105772892013192,,
0,neuron_activation,Impossible_vs_Factual,4566,0.4430481493473053,-0.008882679976522923,-0.015196608379483223,,
0,neuron_activation,Impossible_vs_Factual,3849,0.4425615072250366,-0.001248672604560852,-0.004833131097257137,,
0,neuron_activation,Impossible_vs_Factual,3958,0.4411947727203369,0.012413677759468555,0.002842826070263982,,
0,neuron_activation,Impossible_vs_Factual,7386,0.43841925263404846,-0.002075930591672659,-0.010083629749715328,,
0,neuron_activation,Impossible_vs_Factual,5003,0.4345039427280426,0.0058862934820353985,0.0017677457071840763,,
0,neuron_activation,Impossible_vs_Factual,2386,0.4289788007736206,0.011420411057770252,0.006997161544859409,,
0,neuron_activation,Hallucinations_vs_Factual,8837,0.6152981519699097,-0.004671230912208557,-0.008429337292909622,,
0,neuron_activation,Hallucinations_vs_Factual,4566,0.567690908908844,-0.007703306619077921,-0.015196608379483223,,
0,neuron_activation,Hallucinations_vs_Factual,12177,0.5516784191131592,-0.013795421458780766,-0.02132749930024147,,
0,neuron_activation,Hallucinations_vs_Factual,5112,0.5152587890625,0.002661848906427622,-0.00215416238643229,,
0,neuron_activation,Hallucinations_vs_Factual,4737,0.5041837692260742,-0.00014418571663554758,-0.004154609981924295,,
0,neuron_activation,Hallucinations_vs_Factual,10774,0.4989703297615051,-0.032338451594114304,-0.04132373631000519,,
0,neuron_activation,Hallucinations_vs_Factual,7315,0.49811750650405884,-0.0009575961157679558,-0.0028690858744084835,,
0,neuron_activation,Hallucinations_vs_Factual,8415,0.49613526463508606,0.003623444586992264,-0.010952483862638474,,
0,neuron_activation,Hallucinations_vs_Factual,7386,0.4902705252170563,-0.0014448753790929914,-0.010083629749715328,,
0,neuron_activation,Hallucinations_vs_Factual,2936,0.4830831289291382,-0.007447025738656521,-0.011372587643563747,,
