model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
qwen3-8B,0,0.0,Factual,1.396515625,0.0178988037109375,-2.35675,-0.009677139282226563,-0.1584453125,-5.04175,-0.1508046875,-0.55446875,9.939,11.9375,1.756095886230469e-05
qwen3-8B,0,0.0,Hallucinations,1.4818125,0.01680401611328125,-2.256375,-0.002889617919921875,-0.14848828125,-4.74575,-0.13380859375,-0.53134375,9.799,11.9375,1.7258644104003907e-05
qwen3-8B,0,0.0,Impossible,1.386390625,0.0181624755859375,-2.17525,0.006345855712890625,-0.137734375,-4.98125,-0.145375,-0.54946875,9.9,11.9375,1.754188537597656e-05
qwen3-8B,1,0.027777777777777776,Factual,1.399859375,0.06957958984375,-3.37075,-0.123828125,-0.27334375,-3.022625,-0.12750390625,-0.1104560546875,13.359,,
qwen3-8B,1,0.027777777777777776,Hallucinations,1.471296875,0.07051611328125,-3.14175,-0.11762109375,-0.2691875,-2.3818125,-0.113296875,-0.06083108520507813,13.234,,
qwen3-8B,1,0.027777777777777776,Impossible,1.41815625,0.071498046875,-2.99375,-0.1133984375,-0.2614765625,-2.886375,-0.12419140625,-0.108818359375,13.268,,
qwen3-8B,2,0.05555555555555555,Factual,1.464046875,0.1428115234375,-3.134,-0.1110234375,-0.05670068359375,-1.59195703125,-0.040615234375,0.008269500732421876,15.1615,11.875,2.959251403808594e-05
qwen3-8B,2,0.05555555555555555,Hallucinations,1.51953125,0.149203125,-2.701875,-0.1032265625,-0.02960516357421875,-0.5160810546875,-0.019870193481445312,0.0698701171875,15.0995,11.875,2.9648780822753905e-05
qwen3-8B,2,0.05555555555555555,Impossible,1.47028125,0.1437568359375,-2.499375,-0.09835546875,-0.025118896484375,-1.336140625,-0.0364169921875,0.028086181640625,15.045,11.875,2.923011779785156e-05
qwen3-8B,3,0.08333333333333333,Factual,1.282515625,0.11648828125,-6.532,-0.160609375,-0.2748359375,-5.44675,-0.11100390625,-0.206953125,18.486,,
qwen3-8B,3,0.08333333333333333,Hallucinations,1.30359375,0.10997412109375,-5.6955,-0.146375,-0.2429140625,-3.87875,-0.07900390625,-0.1762578125,18.085,,
qwen3-8B,3,0.08333333333333333,Impossible,1.30665625,0.11284765625,-5.2625,-0.137234375,-0.2284453125,-4.771125,-0.10018359375,-0.184359375,18.065,,
qwen3-8B,4,0.1111111111111111,Factual,1.395046875,0.09120751953125,-3.6145,-0.13806640625,-0.013158409118652344,-2.628921875,-0.076998046875,0.0473607177734375,24.811,11.838,5.2328109741210935e-05
